movie_title,movie_url
The Shawshank Redemption,/sandbox/moviedetails?movie=The Shawshank Redemption
Schindler's List,/sandbox/moviedetails?movie=Schindler's List
The Godfather,/sandbox/moviedetails?movie=The Godfather
The Godfather: Part II,/sandbox/moviedetails?movie=The Godfather: Part II
The Dark Knight,/sandbox/moviedetails?movie=The Dark Knight
Pulp Fiction,/sandbox/moviedetails?movie=Pulp Fiction
"The Good, the Bad and the Ugly","/sandbox/moviedetails?movie=The Good, the Bad and the Ugly"
12 Angry Men,/sandbox/moviedetails?movie=12 Angry Men
The Lord of the Rings: The Return of the King,/sandbox/moviedetails?movie=The Lord of the Rings: The Return of the King
Fight Club,/sandbox/moviedetails?movie=Fight Club
